Area Name,Calendar Year,Labor Force,Employed,Unemployed,Unemployment Rate
Armstrong County,2011,"33,600","30,900","2,700",8
Armstrong County,2012,"33,900","31,300","2,600",7.8
Armstrong County,2013,"33,600","31,200","2,500",7.4
Armstrong County,2014,"33,300","31,100","2,200",6.6
Armstrong County,2015,"33,300","31,100","2,300",6.8
Armstrong County,2016,"32,800","30,400","2,500",7.6
Armstrong County,2017,"32,300","30,200","2,000",6.3
Armstrong County,2018,"31,900","30,200","1,700",5.3
Armstrong County,2019,"31,800","30,200","1,600",5.1
Armstrong County,2020,"31,100","28,100","3,000",9.7
Armstrong County,2021,"30,600","28,400","2,200",7.2
Armstrong County,2022,"30,300","28,800","1,600",5.1
Armstrong County,2023,"30,400","29,100","1,300",4.3
Armstrong County,2024,"30,500","29,200","1,300",4.2
Beaver County,1990,"81,800","77,000","4,800",5.9
Beaver County,1991,"83,600","77,600","5,900",7.1
Beaver County,1992,"85,200","78,700","6,500",7.6
Beaver County,1993,"85,800","79,500","6,300",7.4
Beaver County,1994,"85,500","79,600","5,900",6.9
Beaver County,1995,"85,000","79,900","5,100",6.1
Beaver County,1996,"85,800","81,400","4,400",5.1
Beaver County,1997,"86,900","82,500","4,300",5
Beaver County,1998,"87,000","82,600","4,400",5.1
Beaver County,1999,"87,200","82,900","4,300",4.9
Beaver County,2000,"89,200","85,300","3,900",4.3
Beaver County,2001,"90,500","85,900","4,600",5.1
Beaver County,2002,"90,600","85,100","5,500",6
Beaver County,2003,"89,900","84,400","5,600",6.2
Beaver County,2004,"89,800","84,700","5,100",5.7
Beaver County,2005,"89,800","84,700","5,000",5.6
Beaver County,2006,"89,600","85,200","4,400",4.9
Beaver County,2007,"89,500","85,300","4,200",4.7
Beaver County,2008,"91,000","86,000","5,000",5.5
Beaver County,2009,"90,400","83,100","7,300",8.1
Beaver County,2010,"85,400","78,300","7,100",8.3
Beaver County,2011,"85,800","79,300","6,500",7.6
Beaver County,2012,"86,900","80,600","6,300",7.3
Beaver County,2013,"86,600","80,600","6,000",6.9
Beaver County,2014,"86,400","80,700","5,700",6.6
Beaver County,2015,"86,500","81,200","5,400",6.2
Beaver County,2016,"86,500","81,200","5,300",6.1
Beaver County,2017,"85,800","81,000","4,800",5.6
Beaver County,2018,"85,200","81,300","4,000",4.7
Beaver County,2019,"85,600","81,800","3,800",4.4
Beaver County,2020,"84,600","76,200","8,400",10
Beaver County,2021,"82,200","76,800","5,400",6.6
Beaver County,2022,"82,100","77,900","4,200",5.1
Beaver County,2023,"83,100","79,500","3,600",4.3
Beaver County,2024,"83,100","79,800","3,200",3.9
Bedford County,1990,"21,800","19,800","2,000",9
Bedford County,1991,"22,000","19,700","2,300",10.5
Bedford County,1992,"23,200","20,700","2,500",10.7
Bedford County,1993,"23,600","21,400","2,200",9.2
Bedford County,1994,"23,700","21,500","2,200",9.1
Bedford County,1995,"24,500","22,500","2,000",8.2
Bedford County,1996,"24,900","22,900","1,900",7.8
Bedford County,1997,"25,100","23,300","1,800",7.3
Bedford County,1998,"25,600","24,000","1,600",6.4
Bedford County,1999,"26,500","24,900","1,600",6.1
Bedford County,2000,"24,700","23,300","1,400",5.6
Bedford County,2001,"24,300","22,600","1,700",7.1
Bedford County,2002,"24,800","23,000","1,900",7.5
Bedford County,2003,"23,700","21,800","2,000",8.3
Bedford County,2004,"24,100","22,300","1,800",7.6
Bedford County,2005,"23,500","21,800","1,700",7.2
Bedford County,2006,"23,300","21,900","1,400",5.9
Bedford County,2007,"23,700","22,300","1,400",5.9
Bedford County,2008,"24,600","22,900","1,700",6.9
Bedford County,2009,"24,400","21,800","2,600",10.9
Bedford County,2010,"25,300","22,800","2,500",9.7
Bedford County,2011,"24,900","22,700","2,200",8.8
Bedford County,2012,"25,100","23,000","2,100",8.4
Bedford County,2013,"24,700","22,700","2,000",8.1
Bedford County,2014,"24,400","22,800","1,600",6.7
Bedford County,2015,"24,300","22,800","1,500",6.2
Bedford County,2016,"22,900","21,500","1,400",6.1
Bedford County,2017,"22,600","21,300","1,200",5.5
Bedford County,2018,"22,500","21,400","1,100",4.9
Bedford County,2019,"22,400","21,300","1,100",4.9
Bedford County,2020,"22,500","20,400","2,100",9.3
Bedford County,2021,"22,300","21,000","1,300",5.9
Bedford County,2022,"22,800","21,800","1,000",4.5
Bedford County,2023,"23,200","22,300",900,3.9
Bedford County,2024,"23,300","22,400",900,3.8
Berks County,1990,"176,300","166,900","9,400",5.3
Berks County,1991,"175,000","163,900","11,100",6.4
Berks County,1992,"178,000","166,500","11,600",6.5
Berks County,1993,"177,400","167,400","10,000",5.6
Berks County,1994,"177,300","168,500","8,800",5
Berks County,1995,"179,200","170,600","8,600",4.8
Berks County,1996,"182,500","174,400","8,200",4.5
Berks County,1997,"187,100","179,200","7,900",4.2
Berks County,1998,"186,300","178,200","8,100",4.4
Berks County,1999,"186,600","178,900","7,700",4.1
Berks County,2000,"195,300","187,600","7,800",4
Berks County,2001,"197,300","187,900","9,400",4.8
Berks County,2002,"198,400","186,800","11,700",5.9
Berks County,2003,"193,200","181,700","11,500",5.9
Berks County,2004,"196,300","186,100","10,200",5.2
Berks County,2005,"199,700","189,900","9,800",4.9
Berks County,2006,"202,400","193,400","9,100",4.5
Berks County,2007,"204,400","195,300","9,100",4.4
Berks County,2008,"207,500","196,300","11,200",5.4
Berks County,2009,"205,000","187,100","17,800",8.7
Berks County,2010,"209,600","192,000","17,500",8.4
Berks County,2011,"209,800","193,800","16,000",7.6
Berks County,2012,"211,800","196,100","15,700",7.4
Berks County,2013,"211,500","197,000","14,500",6.8
Berks County,2014,"212,100","200,200","11,800",5.6
Berks County,2015,"214,300","203,500","10,800",5
Berks County,2016,"217,000","206,400","10,600",4.9
Berks County,2017,"216,000","206,000","10,000",4.6
Berks County,2018,"216,900","207,600","9,200",4.3
Berks County,2019,"219,600","210,300","9,300",4.3
Berks County,2020,"216,800","196,900","19,900",9.2
Berks County,2021,"213,200","200,400","12,800",6
Berks County,2022,"215,400","206,600","8,800",4.1
Berks County,2023,"219,000","210,900","8,100",3.7
Berks County,2024,"219,300","211,200","8,100",3.7
Blair County,1990,"60,500","56,000","4,500",7.4
Blair County,1991,"61,100","55,400","5,600",9.2
Blair County,1992,"61,900","56,500","5,400",8.8
Blair County,1993,"62,900","58,400","4,400",7.1
Blair County,1994,"62,800","58,600","4,200",6.7
Blair County,1995,"62,100","58,200","4,000",6.4
Blair County,1996,"62,900","59,200","3,700",5.9
Blair County,1997,"63,900","60,400","3,500",5.5
Blair County,1998,"63,600","60,400","3,200",5.1
Blair County,1999,"64,500","61,500","3,000",4.6
Blair County,2000,"62,600","59,600","3,000",4.7
Blair County,2001,"63,900","60,300","3,600",5.7
Blair County,2002,"64,600","60,800","3,800",5.9
Blair County,2003,"64,200","60,700","3,500",5.4
Blair County,2004,"65,200","61,700","3,500",5.3
Blair County,2005,"65,100","61,700","3,400",5.2
Blair County,2006,"64,900","61,900","3,000",4.6
Blair County,2007,"65,500","62,600","2,900",4.4
Blair County,2008,"65,900","62,500","3,500",5.2
Blair County,2009,"65,400","60,800","4,700",7.1
Blair County,2010,"61,600","56,900","4,700",7.7
Blair County,2011,"61,400","57,100","4,400",7.1
Blair County,2012,"61,900","57,400","4,400",7.2
Blair County,2013,"61,600","57,500","4,100",6.7
Blair County,2014,"61,300","57,700","3,600",5.8
Blair County,2015,"61,500","58,300","3,200",5.3
Blair County,2016,"59,500","56,300","3,200",5.4
Blair County,2017,"58,900","55,900","3,000",5.1
Blair County,2018,"58,300","55,700","2,600",4.5
Blair County,2019,"58,500","55,800","2,700",4.6
Blair County,2020,"58,400","53,300","5,100",8.7
Blair County,2021,"57,500","54,200","3,300",5.8
Blair County,2022,"57,000","54,500","2,500",4.4
Blair County,2023,"57,300","55,200","2,100",3.7
Blair County,2024,"57,700","55,600","2,000",3.5
Bradford County,1990,"28,000","26,400","1,600",5.7
Bradford County,1991,"27,600","25,600","2,000",7.3
Bradford County,1992,"27,600","25,500","2,100",7.7
Bradford County,1993,"27,400","25,500","1,800",6.7
Bradford County,1994,"27,900","26,200","1,800",6.4
Bradford County,1995,"28,600","26,900","1,700",6
Bradford County,1996,"28,900","27,300","1,600",5.7
Bradford County,1997,"28,900","27,300","1,600",5.5
Bradford County,1998,"28,100","26,800","1,300",4.8
Bradford County,1999,"28,100","26,900","1,200",4.2
Bradford County,2000,"30,400","29,200","1,100",3.7
Bradford County,2001,"31,900","30,300","1,600",5
Bradford County,2002,"32,900","31,100","1,700",5.2
Bradford County,2003,"31,500","29,800","1,700",5.3
Bradford County,2004,"32,300","30,700","1,600",5.1
Bradford County,2005,"32,300","30,700","1,600",5
Bradford County,2006,"30,900","29,400","1,500",4.8
Bradford County,2007,"31,000","29,500","1,500",5
Bradford County,2008,"31,300","29,600","1,700",5.3
Bradford County,2009,"31,500","28,900","2,600",8.3
Bradford County,2010,"30,700","28,600","2,100",7
Bradford County,2011,"32,000","30,000","2,000",6.3
Bradford County,2012,"32,600","30,500","2,200",6.6
Bradford County,2013,"31,900","29,600","2,200",7
Bradford County,2014,"31,800","30,000","1,800",5.5
Bradford County,2015,"31,600","29,700","1,900",6.1
Bradford County,2016,"28,700","26,700","2,000",6.8
Bradford County,2017,"27,800","26,300","1,500",5.5
Bradford County,2018,"27,400","26,100","1,300",4.7
Bradford County,2019,"27,200","26,000","1,200",4.5
Bradford County,2020,"26,800","24,800","2,100",7.7
Bradford County,2021,"26,300","24,800","1,400",5.5
Bradford County,2022,"26,400","25,300","1,100",4.2
Bradford County,2023,"27,000","26,000","1,000",3.7
Bradford County,2024,"26,700","25,700","1,000",3.7
Bucks County,1990,"298,600","285,600","12,900",4.3
Bucks County,1991,"303,100","282,000","21,100",7
Bucks County,1992,"304,100","282,200","21,900",7.2
Bucks County,1993,"304,600","285,600","18,900",6.2
Bucks County,1994,"306,800","290,400","16,400",5.3
Bucks County,1995,"308,500","292,900","15,700",5.1
Bucks County,1996,"317,000","302,500","14,500",4.6
Bucks County,1997,"324,100","310,800","13,300",4.1
Bucks County,1998,"328,400","316,400","12,000",3.7
Bucks County,1999,"334,000","322,300","11,700",3.5
Bucks County,2000,"330,300","318,800","11,400",3.5
Bucks County,2001,"336,600","323,200","13,500",4
Bucks County,2002,"339,700","323,400","16,200",4.8
Bucks County,2003,"336,900","321,100","15,800",4.7
Bucks County,2004,"339,300","323,900","15,400",4.5
Bucks County,2005,"342,900","328,700","14,300",4.2
Bucks County,2006,"347,900","334,000","13,900",4
Bucks County,2007,"349,500","335,600","13,900",4
Bucks County,2008,"355,200","338,300","16,900",4.8
Bucks County,2009,"345,800","320,600","25,200",7.3
Bucks County,2010,"336,300","311,600","24,700",7.3
Bucks County,2011,"335,900","312,100","23,800",7.1
Bucks County,2012,"338,900","315,300","23,500",6.9
Bucks County,2013,"337,500","316,100","21,300",6.3
Bucks County,2014,"337,000","319,000","17,900",5.3
Bucks County,2015,"340,400","324,200","16,300",4.8
Bucks County,2016,"343,700","327,900","15,800",4.6
Bucks County,2017,"343,200","328,300","14,900",4.3
Bucks County,2018,"344,700","331,300","13,400",3.9
Bucks County,2019,"349,100","335,900","13,200",3.8
Bucks County,2020,"344,100","316,300","27,800",8.1
Bucks County,2021,"342,200","325,200","17,000",5
Bucks County,2022,"346,700","334,000","12,700",3.7
Bucks County,2023,"350,700","339,200","11,500",3.3
Bucks County,2024,"351,700","340,200","11,500",3.3
Butler County,1990,"74,100","70,000","4,100",5.5
Butler County,1991,"76,300","71,200","5,100",6.6
Butler County,1992,"78,000","72,700","5,300",6.8
Butler County,1993,"79,800","74,600","5,200",6.5
Butler County,1994,"81,200","75,900","5,300",6.5
Butler County,1995,"82,700","78,100","4,600",5.5
Butler County,1996,"85,400","81,000","4,400",5.1
Butler County,1997,"87,500","83,300","4,200",4.8
Butler County,1998,"88,800","85,000","3,800",4.3
Butler County,1999,"90,700","86,900","3,800",4.2
Butler County,2000,"89,400","85,700","3,700",4.2
Butler County,2001,"91,900","87,700","4,300",4.6
Butler County,2002,"93,200","88,300","5,000",5.3
Butler County,2003,"93,600","88,400","5,300",5.6
Butler County,2004,"94,800","89,600","5,200",5.5
Butler County,2005,"95,300","90,700","4,600",4.8
Butler County,2006,"96,700","92,500","4,300",4.4
Butler County,2007,"97,600","93,500","4,100",4.2
Butler County,2008,"99,700","95,100","4,700",4.7
Butler County,2009,"100,200","93,200","7,000",7
Butler County,2010,"95,500","88,800","6,800",7.1
Butler County,2011,"96,500","90,300","6,300",6.5
Butler County,2012,"98,100","92,000","6,100",6.2
Butler County,2013,"98,000","92,200","5,800",5.9
Butler County,2014,"97,900","92,900","5,000",5.1
Butler County,2015,"98,900","94,200","4,800",4.8
Butler County,2016,"97,500","92,500","5,000",5.1
Butler County,2017,"97,700","93,100","4,600",4.7
Butler County,2018,"98,500","94,500","4,000",4.1
Butler County,2019,"99,500","95,600","3,900",3.9
Butler County,2020,"97,700","90,200","7,500",7.7
Butler County,2021,"97,900","92,700","5,200",5.3
Butler County,2022,"99,000","95,000","4,000",4
Butler County,2023,"100,900","97,500","3,400",3.4
Butler County,2024,"101,200","97,900","3,300",3.3
Cambria County,1990,"66,500","61,500","5,000",7.5
Cambria County,1991,"67,800","61,700","6,100",9
Cambria County,1992,"69,400","62,000","7,400",10.7
Cambria County,1993,"69,800","62,100","7,700",11.1
Cambria County,1994,"69,400","62,800","6,700",9.6
Cambria County,1995,"69,400","63,600","5,800",8.3
Cambria County,1996,"69,600","63,700","5,900",8.4
Cambria County,1997,"69,200","63,700","5,500",7.9
Cambria County,1998,"67,000","62,500","4,500",6.8
Cambria County,1999,"66,700","62,700","4,000",5.9
Cambria County,2000,"66,900","62,800","4,100",6.2
Cambria County,2001,"66,800","62,400","4,500",6.7
Cambria County,2002,"66,300","61,700","4,700",7
Cambria County,2003,"66,800","62,100","4,700",7
Cambria County,2004,"67,200","62,600","4,600",6.8
Cambria County,2005,"67,500","63,300","4,200",6.2
Cambria County,2006,"68,300","64,500","3,700",5.5
Cambria County,2007,"68,800","65,000","3,800",5.6
Cambria County,2008,"69,900","65,600","4,300",6.2
Cambria County,2009,"69,400","63,500","5,900",8.5
Cambria County,2010,"66,500","60,500","6,100",9.1
Cambria County,2011,"66,100","60,500","5,600",8.5
Cambria County,2012,"66,000","60,400","5,600",8.5
Cambria County,2013,"64,600","59,200","5,400",8.4
Cambria County,2014,"63,300","58,800","4,500",7.1
Cambria County,2015,"62,900","58,700","4,200",6.7
Cambria County,2016,"63,600","59,500","4,200",6.6
Cambria County,2017,"61,800","58,100","3,700",6
Cambria County,2018,"60,500","57,300","3,200",5.2
Cambria County,2019,"60,100","57,000","3,100",5.1
Cambria County,2020,"58,600","53,300","5,300",9.1
Cambria County,2021,"57,100","53,500","3,700",6.4
Cambria County,2022,"56,900","54,000","2,800",5
Cambria County,2023,"57,100","54,600","2,500",4.4
Cambria County,2024,"56,700","54,200","2,400",4.3
Cameron County,1990,"2,600","2,400",200,7.2
Cameron County,1991,"2,500","2,300",200,9
Cameron County,1992,"2,500","2,200",200,9.8
Cameron County,1993,"2,500","2,300",200,8.2
Cameron County,1994,"2,600","2,400",200,6.7
Cameron County,1995,"2,600","2,400",200,6.6
Cameron County,1996,"2,600","2,400",200,7.6
Cameron County,1997,"2,700","2,500",200,6.6
Cameron County,1998,"2,800","2,600",200,6.8
Cameron County,1999,"2,900","2,600",200,8.2
Cameron County,2000,"2,800","2,600",200,6.7
Cameron County,2001,"2,600","2,400",200,8.6
Cameron County,2002,"2,600","2,400",200,7.9
Cameron County,2003,"2,600","2,400",200,7.5
Cameron County,2004,"2,700","2,500",200,7
Cameron County,2005,"2,600","2,400",200,7
Cameron County,2006,"2,600","2,500",200,6.3
Cameron County,2007,"2,600","2,400",200,6.3
Cameron County,2008,"2,500","2,300",200,9.1
Cameron County,2009,"2,400","2,000",400,17
Cameron County,2010,"2,500","2,200",300,12.2
Cameron County,2011,"2,500","2,200",300,10.4
Cameron County,2012,"2,500","2,200",200,9.9
Cameron County,2013,"2,400","2,100",200,9.3
Cameron County,2014,"2,300","2,100",200,7.2
Cameron County,2015,"2,300","2,100",200,7.3
Cameron County,2016,"2,200","2,000",200,7.7
Cameron County,2017,"2,100","2,000",200,7.4
Cameron County,2018,"2,100","2,000",100,5.4
Cameron County,2019,"2,000","1,900",100,6.1
Cameron County,2020,"2,000","1,700",300,12.8
Cameron County,2021,"1,900","1,800",100,7.5
Cameron County,2022,"1,800","1,700",100,5.6
Cameron County,2023,"1,800","1,700",100,5.6
Cameron County,2024,"1,800","1,700",100,5.3
Carbon County,1990,"26,300","24,300","2,000",7.6
Carbon County,1991,"26,900","24,300","2,600",9.6
Carbon County,1992,"27,000","24,200","2,800",10.5
Carbon County,1993,"26,600","24,400","2,200",8.2
Carbon County,1994,"26,500","24,300","2,200",8.1
Carbon County,1995,"26,300","24,300","2,000",7.6
Carbon County,1996,"26,700","24,700","2,100",7.8
Carbon County,1997,"27,400","25,400","2,000",7.2
Carbon County,1998,"27,500","25,500","2,000",7.3
Carbon County,1999,"27,700","25,900","1,900",6.8
Carbon County,2000,"29,100","27,600","1,500",5.2
Carbon County,2001,"29,600","27,900","1,700",5.8
Carbon County,2002,"29,800","27,800","2,000",6.8
Carbon County,2003,"29,900","27,700","2,200",7.3
Carbon County,2004,"29,900","28,000","1,900",6.3
Carbon County,2005,"30,400","28,600","1,800",6
Carbon County,2006,"30,900","29,100","1,800",6
Carbon County,2007,"31,300","29,500","1,800",5.6
Carbon County,2008,"31,800","29,600","2,200",6.8
Carbon County,2009,"31,600","28,400","3,200",10.1
Carbon County,2010,"31,700","28,400","3,200",10.2
Carbon County,2011,"31,800","28,700","3,100",9.8
Carbon County,2012,"32,300","29,200","3,100",9.7
Carbon County,2013,"32,200","29,300","2,900",8.9
Carbon County,2014,"31,800","29,500","2,300",7.2
Carbon County,2015,"31,700","29,800","2,000",6.2
Carbon County,2016,"31,500","29,700","1,900",6
Carbon County,2017,"31,500","29,700","1,800",5.7
Carbon County,2018,"31,600","30,000","1,700",5.3
Carbon County,2019,"32,000","30,300","1,700",5.4
Carbon County,2020,"31,600","28,600","3,000",9.6
Carbon County,2021,"31,800","29,800","2,000",6.3
Carbon County,2022,"32,100","30,600","1,600",4.9
Carbon County,2023,"32,300","31,000","1,400",4.2
Carbon County,2024,"32,500","31,200","1,300",4
Centre County,1990,"60,600","58,000","2,600",4.2
Centre County,1991,"60,900","58,200","2,700",4.4
Centre County,1992,"62,200","59,400","2,800",4.4
Centre County,1993,"62,900","60,300","2,600",4.1
Centre County,1994,"62,400","60,100","2,300",3.7
Centre County,1995,"63,600","61,400","2,100",3.3
Centre County,1996,"66,000","64,000","2,000",3
Centre County,1997,"66,800","64,800","2,000",3
Centre County,1998,"66,700","64,800","1,900",2.8
Centre County,1999,"66,300","64,500","1,800",2.8
Centre County,2000,"68,700","66,300","2,400",3.5
Centre County,2001,"70,700","68,000","2,700",3.8
Centre County,2002,"72,200","69,100","3,000",4.2
Centre County,2003,"70,800","67,700","3,100",4.4
Centre County,2004,"72,100","68,900","3,200",4.4
Centre County,2005,"72,700","69,800","2,900",4
Centre County,2006,"73,200","70,400","2,800",3.8
Centre County,2007,"74,100","71,400","2,700",3.7
Centre County,2008,"75,900","72,600","3,300",4.3
Centre County,2009,"75,700","71,300","4,400",5.8
Centre County,2010,"77,200","72,800","4,400",5.7
Centre County,2011,"77,400","73,300","4,100",5.3
Centre County,2012,"77,600","73,500","4,100",5.3
Centre County,2013,"78,100","74,200","4,000",5.1
Centre County,2014,"78,000","74,600","3,400",4.4
Centre County,2015,"78,500","75,300","3,200",4.1
Centre County,2016,"77,200","74,000","3,300",4.2
Centre County,2017,"77,100","74,200","2,900",3.8
Centre County,2018,"77,800","75,200","2,600",3.4
Centre County,2019,"78,100","75,600","2,600",3.3
Centre County,2020,"75,100","70,800","4,300",5.8
Centre County,2021,"73,800","70,600","3,200",4.3
Centre County,2022,"75,400","72,900","2,600",3.4
Centre County,2023,"77,100","74,900","2,200",2.9
Centre County,2024,"76,500","74,300","2,200",2.9
Chester County,1990,"206,800","199,900","6,800",3.3
Chester County,1991,"207,300","197,600","9,700",4.7
Chester County,1992,"209,300","198,400","10,900",5.2
Chester County,1993,"210,800","201,200","9,600",4.6
Chester County,1994,"213,300","204,600","8,700",4.1
Chester County,1995,"216,600","208,100","8,500",3.9
Chester County,1996,"223,100","215,500","7,600",3.4
Chester County,1997,"230,100","222,900","7,200",3.1
Chester County,1998,"234,900","228,400","6,500",2.8
Chester County,1999,"241,100","234,700","6,400",2.6
Chester County,2000,"236,600","229,400","7,300",3.1
Chester County,2001,"242,400","234,100","8,300",3.4
Chester County,2002,"246,300","236,400","10,000",4
